category,vol_tercile,mean_hs,median_hs,n
Crypto,1,0.047325000000000006,0.023,20
Crypto,2,0.012125,0.005000000000000003,20
Crypto,3,0.01295,0.0049999999999999975,20
Culture,1,0.060875,0.037500000000000006,20
Culture,2,0.040625,0.01750000000000001,20
Culture,3,0.004526315789473686,0.0005000000000000004,19
Econ/Finance,1,0.035875,0.008,20
Econ/Finance,2,0.022925,0.009749999999999998,20
Econ/Finance,3,0.007750000000000002,0.0050000000000000044,20
Geopolitics,1,0.02020588235294117,0.024999999999999967,17
Geopolitics,2,0.03363157894736842,0.01999999999999999,19
Geopolitics,3,0.00668421052631579,0.0025,19
Other,1,0.058805555555555555,0.0145,18
Other,2,0.04788888888888889,0.015000000000000005,18
Other,3,0.011600000000000001,0.0075,20
Politics,1,0.006999999999999998,0.0050000000000000044,18
Politics,2,0.006425,0.0050000000000000044,20
Politics,3,0.0007777777777777781,0.0005,18
Sports,1,0.0198,0.005000000000000001,10
Sports,2,0.004277777777777777,0.0012500000000000005,18
Sports,3,0.0022666666666666642,0.001,15
